uid,lat,lon,heading,country,city,district,ward,image_path
149,10.781825259785805,106.69925770890384,133.26338710737193,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_149.jpg
150,10.779612399470864,106.6988256009262,223.0520780858197,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_150.jpg
151,10.779283097065312,106.6985124356754,223.0520780858197,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_151.jpg
152,10.779612399470864,106.6988256009262,132.35035277427951,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_152.jpg
153,10.779306847595509,106.69916249008529,132.35035277427951,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_153.jpg
154,10.779612399470864,106.6988256009262,313.35488668090727,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_154.jpg
155,10.779921647498844,106.69849217679682,313.35488668090727,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_155.jpg
156,10.780046499470922,106.69919490092606,133.2466678115503,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_156.jpg
157,10.779733254442933,106.6995244846643,133.2466678115503,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_157.jpg
158,10.775817999471116,106.69707500092574,42.172335930404486,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_158.jpg
159,10.77615201965646,106.69738300998996,42.172335930404486,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_159.jpg
160,10.775817999471116,106.69707500092574,132.12943493019802,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_160.jpg
161,10.775511434183937,106.69741094566363,132.12943493019802,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_161.jpg
162,10.775211959564675,106.6977531959708,132.12943493019802,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_162.jpg
163,10.772750199464776,106.68344030093692,253.84404481851607,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_163.jpg
164,10.77262613061704,106.68300071228992,253.84404481851607,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_164.jpg
